0758	GD	肇庆	526000
0759	GD	湛江	524000
0760	GD	中山	528400
0762	GD	河源	517000
0763	GD	清远	511500
0765	GD	顺德	528300
0766	GD	云浮	527300
0768	GD	潮州	515600
0769	GD	东莞	511700
0770	GX	防城港	535700
0771	GX	南宁	530000
0772	GX	柳州	545000
0773	GX	桂林	541000
0774	GX	梧州	543000
0775	GX	玉林	537000
0776	GX	百色	533000
0777	GX	钦州	535000
0778	GX	河池	547000
0779	GX	北海	536000
0790	JX	新余	336500
0791	JX	南昌	330000
0792	JX	九江	332000
0793	JX	上饶	334000
0794	JX	抚州	344000
0795	JX	宜春	336000
0796	JX	吉安	343000
0797	JX	赣州	341000
0798	JX	景德镇	333000
0799	JX	萍乡	337000
0812	SC	攀枝花	617000
0813	SC	自贡	643000
0816	SC	绵阳	621000
0817	SC	南充	637100
0818	SC	达川	636400
0825	SC	遂宁	629000
0826	SC	广安	638000
0830	SC	邻水	635300
0831	SC	宜宾	644000
0832	SC	内江	641000
0833	SC	乐山	614000
0834	SC	西昌	615000
0835	SC	雅安	625000
0836	SC	康定	626000
0837	SC	马尔康	624000
0838	SC	德阳	618200
0839	SC	广元	628000
0851	GZ	贵阳	550000
0852	GZ	遵义	563000
0853	GZ	安顺	561000
0854	GZ	都匀	558000
0855	GZ	凯里	556000
0856	GZ	铜仁	564300
0857	GZ	毕节	551700
0858	GZ	六盘水	553000
0859	GZ	兴义	562400
0870	YN	昭通	657000
0871	YN	昆明	650000
0872	YN	大理	671000
0873	YN	个旧	661400
0874	YN	曲靖	655000
0875	YN	保山	678000
0876	YN	文山	663000
0877	YN	玉溪	653100
0878	YN	楚雄	675000
0879	YN	思茅	665000
0881	YN	东川	654100
0886	YN	六库	673100
0887	YN	中甸	674400
0888	YN	丽江	674100
0890	HN3	儋州	571700
0891	XZ	拉萨	850000
0892	XZ	日喀则	857000
0893	XZ	山南	0
0894	XZ	林芝	850400
0895	XZ	昌都	854000
0896	XZ	那曲	852000
0898	HN3	海口	570000
0899	HN3	三亚	572000
0901	XJ	塔城	834700
0902	XJ	哈密	839000
0903	XJ	和田	848000
0906	XJ	阿勒泰	836500
0908	XJ	阿图什	845300
0909	XJ	博乐	833400
0910	SX1	彬县	713500
0911	SX1	富县	727500
0912	SX1	榆林	719000
0913	SX1	澄城	715200
0914	SX1	洛南	726100
0915	SX1	紫阳	725300
0916	SX1	勉县	724200
0917	SX1	麟游	721500
0919	SX1	铜川	727000
0930	GS	临夏市	731100
0931	GS	兰州	730000
0932	GS	定西	743000
0933	GS	静宁	743400
0934	GS	西峰	745000
0935	GS	金昌	733000
0936	GS	张掖	734000
0937	GS	酒泉	735000
0938	GS	天水	741000
0939	GS	武都	746000
0943	GS	白银	730900
0951	NX	银川	750000
0952	NX	石嘴山	753000
0953	NX	吴忠	751100
0954	NX	固原	756000
0970	QH	海晏	812200
0971	QH	西宁	810000
0972	QH	乐都	810700
0973	QH	同仁	811300
0974	QH	共和	813000
0975	QH	玛沁	814000
0976	QH	玉树	815000
0977	QH	德令哈	817000
0978	QH	门源	810300
0979	QH	格尔木	816000
0990	XJ	克拉玛依	834000
0991	XJ	乌鲁木齐	830000
0992	XJ	奎屯	833200
0993	XJ	石河子	832000
0994	XJ	昌吉	831100
0995	XJ	吐鲁番	838000
0996	XJ	库尔勒	841000
0997	XJ	阿克苏	843000
0998	XJ	咯什	844000
0999	XJ	塔什库尔干	845200
4831	NMG	阿拉善左旗	750300
4887	NMG	阿拉善右旗	737300
4888	NMG	额济纳旗	735400
7437	SC	石棉	625400
8015	XZ	堆龙德庆	851400
8016	XZ	曲水	850600
8017	XZ	尼木	851300
8018	XZ	仁布	857200
8040	XZ	扎囊	850800
8049	XZ	贡嘎	850700
8051	XZ	江达	854100
8054	XZ	芒康	854500
8056	XZ	八宿	854600
8057	XZ	洛隆	855400
8059	XZ	丁青	855700
8061	XZ	巴青	852100
8062	XZ	比如	852300
8067	XZ	班戈	852500
8069	XZ	措勤	859300
8073	XZ	阿里	859000
8078	XZ	索县	852200
8081	XZ	尼玛	852600
8225	SC	璧山	632700
8228	SC	米易	617200
8229	SC	盐边	617100
8241	SC	宁南	615400
8247	SC	盐源	615700
8270	SC	平昌	635400
8277	SC	通江	635700
8278	SC	南江	635600
8279	SC	巴中	635500
8295	SC	酉阳	648800
8296	SC	秀山	648900
8298	SC	彭水	648600
8407	SC	理县	623100
8411	SC	昭觉	616100
8417	SC	甘洛	616800
8430	SC	宝兴	625700
8440	SC	木里	615800
8444	SC	会理	615100
8445	SC	会东	615200
8447	SC	冕宁	615600
8452	SC	越西	616600
8453	SC	雷波	616500
8455	SC	喜德	616700
8456	SC	普格	615300
8457	SC	布拖	616300
8458	SC	金阳	616200
8459	SC	美姑	616400
8461	SC	名山	625100
8462	SC	荥经	625200
8463	SC	汉源	625300
8465	SC	天全	625500
8466	SC	芦山	625600
8489	SC	汶川	623000
8493	SC	松潘	623300
8631	GZ	平坝	561100
8632	GZ	紫云	550800
8633	GZ	关岭	561300
8634	GZ	镇宁	561200
8635	GZ	普定	562100
8640	GZ	贵定	551300
8641	GZ	福泉	550500
8642	GZ	瓮安	550400
8643	GZ	三都	558100
8644	GZ	荔波	558400
8645	GZ	独山	558200
8646	GZ	平塘	558300
8647	GZ	罗甸	550100
8648	GZ	惠水	550600
8649	GZ	龙里	551200
8650	GZ	榕江	557200
8651	GZ	黄平	556100
8652	GZ	施秉	556200
8653	GZ	镇远	557700
8654	GZ	岑巩	557800
8655	GZ	三穗	556500
8656	GZ	天柱	556600
8657	GZ	锦屏	556700
8658	GZ	黎平	557300
8659	GZ	从江	557400
8661	GZ	沿河	565300
8662	GZ	松桃	554100
8663	GZ	万山	554200
8664	GZ	玉屏	554000
8665	GZ	江口	554400
8666	GZ	石阡	555100
8667	GZ	思南	565100
8668	GZ	印江	555200
8669	GZ	德江	565200
8670	GZ	长顺	550700
8671	GZ	威宁	553100
8672	GZ	赫章	553200
8673	GZ	纳雍	553300
8674	GZ	黔西	551500
8675	GZ	大方	551600
8676	GZ	金沙	551800
8677	GZ	织金	552100
8680	GZ	剑河	556400
8681	GZ	六枝	553400
8682	GZ	盘县	561600
86852	XG	香港	0
86853	AM	澳门	0
8686	GZ	雷山	557100
8687	GZ	丹寨	557500
8688	GZ	麻江	557600
86886	TW	阿莲	822
86887	TW	安定	745
86888	TW	安平	708
86889	TW	八德	334
8689	GZ	台江	556300
86890	TW	八里	249
86891	TW	白河	732
86892	TW	白沙	884
86893	TW	板桥	220
86894	TW	褒忠	634
86895	TW	宝山	308
86896	TW	卑南	931
86897	TW	北斗	521
86898	TW	北港	651
86899	TW	北门	727
86900	TW	北埔	314
86901	TW	北投	112
86902	TW	补子	613
86903	TW	布袋	739
86904	TW	草屯	542
86905	TW	长宾	937
86906	TW	长治	905
86907	TW	潮州	910
86908	TW	车城	923
86909	TW	成功	936
86910	TW	城中区	100
86911	TW	池上	934
86912	TW	春日	920
86913	TW	刺桐	647
9220	SX1	吴堡	718200
9221	SX1	子洲	718400
9222	SX1	佳县	719200
9223	SX1	府谷	719400
9224	SX1	横山	719100
9225	SX1	米脂	718100
9226	SX1	绥德	718000
9227	SX1	定边	718600
9228	SX1	靖边	718500
9229	SX1	神木	719300
9240	SX1	清涧	718300
9242	SX1	柞水	711400
9243	SX1	镇安	711500
9244	SX1	山阳	726400
9401	GS	临夏县	731800
9402	GS	永靖	731600
9403	GS	和政	731200
9404	GS	东乡	731400
9405	GS	康乐	731500
9406	GS	广河	731300
9407	GS	积石山	731700
9411	GS	甘南州	747000
9412	GS	夏河	747100
9413	GS	临潭	747500
9414	GS	舟曲	746300
9415	GS	碌曲	747200
9416	GS	玛曲	747300
9417	GS	旧尼	747600
9418	GS	迭部	747400
9421	GS	陇西	748100
9422	GS	漳县	748300
9423	GS	通渭	743300
9424	GS	岷县	748400
9425	GS	临洮	730500
9426	GS	渭源	748200
9441	GS	庆阳	745100
9442	GS	宁县	745200
